Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
670,So-SaSp96,,Point,38.22747732,-122.8269459,72.809,-27.646
671,So-SaSp97,,Point,38.22746488,-122.8269528,73.171,-27.646
672,So-SaSp98,,Point,38.22745489,-122.8269577,73.434,-27.646
673,So-SaSp99,,Point,38.2271483,-122.826932,71.597,-27.646
553,So-ScCa01,,Point,38.2297788,-122.8258633,84.752,-27.641
548,So-SeSe04,,Point,38.22956082,-122.825926,82.727,-27.641
588,So-SeSe05,,Point,38.22936249,-122.8259342,81.434,-27.641
533,So-SyAl06,,Point,38.23040933,-122.8257384,86.357,-27.64
534,So-SyAl07,,Point,38.23039054,-122.8257774,85.865,-27.64
603,So-SyAl08,,Point,38.22891465,-122.826073,79.211,-27.642
604,So-SyAl09,,Point,38.22887605,-122.8260834,78.989,-27.642
650,So-SyAl10,,Point,38.22833336,-122.8263421,78.105,-27.644
575,So-UmCa10,,Point,38.23053951,-122.8255255,87.635,-27.639
584,So-UmCa11,,Point,38.23086825,-122.8253213,89.521,-27.638
