Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,Site,Species,Planting Date,School,Grade
579,So-AeCa28,NA,Point,38.230661355,-122.825397771667,88.868,-27.639,SoMar,AeCa,NA,NA,NA
578,So-SaSp78,NA,Point,38.23063903,-122.825430395,87.987,-27.639,SoMar,SaSp,NA,NA,NA
577,So-SaSp77,NA,Point,38.2306135333333,-122.825447878333,88.231,-27.639,SoMar,SaSp,NA,NA,NA
576,So-AeCa27,NA,Point,38.2305574633333,-122.825461101667,88.635,-27.639,SoMar,AeCa,NA,NA,NA
575,So-UmCa09,NA,Point,38.2305395133333,-122.825525513333,87.635,-27.639,SoMar,UmCa,NA,NA,NA
574,So-AeCa26,NA,Point,38.23048153,-122.825526698333,87.635,-27.639,SoMar,AeCa,NA,NA,NA
573,So-BaPi12,NA,Point,38.2304533116667,-122.825524673333,88.101,-27.639,SoMar,BaPi,NA,NA,NA
572,So-BaPi11,NA,Point,38.23045735,-122.825579763333,87.579,-27.639,SoMar,BaPi,NA,NA,NA
571,So-BaPi10,NA,Point,38.2303948766667,-122.825619963333,86.959,-27.639,SoMar,BaPi,NA,NA,NA
570,So-CrDo20,NA,Point,38.2303626783333,-122.825668773333,86.551,-27.64,SoMar,CrDo,NA,NA,NA
569,So-CrDo19,NA,Point,38.230349835,-122.825616616667,86.721,-27.64,SoMar,CrDo,NA,NA,NA
568,So-CrDo18,NA,Point,38.2303122316667,-122.825665001667,86.044,-27.64,SoMar,CrDo,NA,NA,NA
567,So-QuAg39,NA,Point,38.2302537366667,-122.825671383333,85.77,-27.64,SoMar,QuAg,NA,NA,NA
566,So-RoCa25,NA,Point,38.2301679583333,-122.825711073333,85.822,-27.64,SoMar,RoCa,NA,NA,NA
565,So-QuAg38,NA,Point,38.2301380683333,-122.82569413,86.008,-27.64,SoMar,QuAg,NA,NA,NA
564,So-BaPi09,NA,Point,38.23009116,-122.825694551667,85.608,-27.64,SoMar,BaPi,NA,NA,NA
563,So-LoIn07,NA,Point,38.23009542,-122.825748726667,84.359,-27.64,SoMar,LoIn,NA,NA,NA
561,So-FrLa38,NA,Point,38.2300653133333,-122.825739078333,84.531,-27.64,SoMar,FrLa,NA,NA,NA
560,So-BaPi08,NA,Point,38.2300325316667,-122.825701713333,85.633,-27.64,SoMar,BaPi,NA,NA,NA
559,So-SaSp76,NA,Point,38.2299913833333,-122.825747925,85.035,-27.64,SoMar,SaSp,NA,NA,NA
558,So-SaSp75,NA,Point,38.2299839283333,-122.825753433333,85.149,-27.64,SoMar,SaSp,NA,NA,NA
557,So-SaSp74,NA,Point,38.2299717066667,-122.825771473333,85.055,-27.64,SoMar,SaSp,NA,NA,NA
556,So-FrLa37,NA,Point,38.2299348566667,-122.825819598333,84.742,-27.64,SoMar,FrLa,NA,NA,NA
555,So-CrDo17,NA,Point,38.22988991,-122.825831333333,84.843,-27.641,SoMar,CrDo,NA,NA,NA
554,So-CrDo16,NA,Point,38.22983261,-122.8258359,84.762,-27.641,SoMar,CrDo,NA,NA,NA
553,So-ScCa01,NA,Point,38.2297788016667,-122.825863276667,84.752,-27.641,SoMar,ScCa,NA,NA,NA
552,So-RoCa24,NA,Point,38.2297480516667,-122.825911648333,84.078,-27.641,SoMar,RoCa,NA,NA,NA
